query_1_time.out,query_2_time.out,query_3_time.out,query_4_time.out,query_5_time.out,query_6_time.out,query_7_time.out,query_8_time.out,query_9_time.out,query_10_time.out,query_11_time.out,query_12_time.out,query_13_time.out,query_14_time.out,query_15_time.out,query_16_time.out,query_17_time.out,query_18_time.out,query_19_time.out,query_20_time.out,query_21_time.out,query_22_time.out,query_23_time.out,query_24_time.out,query_25_time.out,query_26_time.out,query_27_time.out,query_28_time.out,query_29_time.out,query_30_time.out,query_31_time.out,query_32_time.out,query_33_time.out,query_34_time.out,query_35_time.out,query_36_time.out,query_37_time.out,query_38_time.out,query_39_time.out,query_40_time.out,query_41_time.out,query_42_time.out,query_43_time.out,query_44_time.out,query_45_time.out,query_46_time.out,query_47_time.out,query_48_time.out,query_49_time.out,query_50_time.out,query_51_time.out,query_52_time.out,query_53_time.out
451,66,2012,4500,222541,290,95,3174,500,7209,5143,446041,740051,607740,3342,1447,10844,231,109,38916,134,162,2798,524,819,562905,3991,8713,1150,2063,8661,46975,230,869,28092,7186,151,8950,194,263,1025,2258,90,58511,9683,2486,8348,5953,1350,13811,44834,34413,34468
406,66,2038,4621,230940,277,245,2816,579,310,1911,678853,826589,898449,4930,1402,10010,212,228,30579,209,162,1473,212,833,795045,4119,9814,1376,2117,7619,46292,203,987,25242,7160,243,8199,264,252,1055,2240,125,59913,8885,2053,7940,6113,1332,9655,44556,34291,34146
512,57,1968,4121,194373,271,103,2822,370,574,1921,695235,560940,536623,3056,1404,9003,215,95,29121,134,203,1505,225,821,538595,3482,8353,1242,2115,7438,45957,283,1030,20568,7232,165,8541,206,254,1054,2280,77,44893,8318,2178,5686,6112,1318,8517,41010,34311,34090
341,56,1796,4227,191684,326,120,2696,599,605,1886,469714,611030,618125,3651,1206,8303,236,95,28785,135,195,1266,220,817,594541,3658,8414,1187,1996,6998,45965,232,900,21189,7180,117,8063,209,264,1034,2281,72,47198,8615,2173,4817,6041,1318,8750,41164,33792,33727
256,64,1709,4125,188687,274,95,2735,282,499,1913,413398,629172,603680,2997,1203,8072,245,109,28859,142,165,1967,194,807,535149,3180,8371,1143,1966,6352,44235,115,805,19183,7170,137,7897,166,297,998,2225,70,41987,7939,2172,4559,6107,1257,6251,39768,33507,33948
227,62,1836,4042,186989,258,94,2680,321,452,1865,365740,555293,548481,2799,1173,7309,232,99,28250,118,155,1226,173,797,542342,3093,8205,1169,1946,6213,43147,104,813,19180,7040,137,7360,189,227,974,2197,62,41838,7939,2123,4506,5864,1255,5975,39657,34224,34030
239,67,1767,4034,188061,248,134,2666,328,477,1833,368326,588070,578315,2563,1239,6833,209,82,28212,214,139,2238,198,805,566855,3286,8679,1169,1953,5920,43656,117,786,19875,7073,129,7710,218,247,982,2164,71,42959,8081,2043,4323,5687,1241,6565,39186,33812,33891
280,43,1806,3780,185817,252,90,2756,412,606,1838,352644,516290,498852,2204,1181,7067,222,110,28115,119,158,1416,220,803,491973,3020,8169,1119,1938,6093,42965,122,797,18748,7080,111,7523,200,232,988,2208,67,41320,8030,2106,4131,5787,1262,6238,38823,33617,33691
210,47,1769,3999,186791,261,101,2601,273,669,1835,339270,539559,539315,2529,1171,7108,147,71,28413,104,131,1218,242,812,531925,3055,8272,1121,1935,5966,43639,115,902,19281,7020,119,7469,194,257,991,2192,63,42090,8011,2111,3977,6106,1255,6126,38594,33832,33474
238,61,1969,3842,185564,248,115,2537,246,563,1846,344824,571773,563291,2582,1189,7058,242,106,28168,111,142,1162,208,806,552546,3155,8407,1109,1930,6062,43649,112,862,19511,7133,128,7752,204,255,962,2168,68,40665,8043,2047,4223,5844,1246,5738,38695,33998,33857
