query_1_time.out,query_2_time.out,query_3_time.out,query_4_time.out,query_5_time.out,query_6_time.out,query_7_time.out,query_8_time.out,query_9_time.out,query_10_time.out,query_11_time.out,query_12_time.out,query_13_time.out,query_14_time.out,query_15_time.out,query_16_time.out,query_17_time.out,query_18_time.out,query_19_time.out,query_20_time.out,query_21_time.out,query_22_time.out,query_23_time.out,query_24_time.out,query_25_time.out,query_26_time.out,query_27_time.out,query_28_time.out,query_29_time.out,query_30_time.out,query_31_time.out,query_32_time.out,query_33_time.out,query_34_time.out,query_35_time.out,query_36_time.out,query_37_time.out,query_38_time.out,query_39_time.out,query_40_time.out,query_41_time.out,query_42_time.out,query_43_time.out,query_44_time.out,query_45_time.out,query_46_time.out,query_47_time.out,query_48_time.out,query_49_time.out,query_50_time.out,query_51_time.out,query_52_time.out,query_53_time.out
798,240,2465,3835,193778,335,280,2594,647,7269,4450,396634,590165,526585,2770,1553,12731,277,123,61000,388,212,2035,822,810,512972,2979,7266,995,1705,5721,29598,72,598,50557,6562,269,8458,105,123,954,1953,26,45875,6545,1484,12249,3213,1222,21590,991173,934579,942399
904,169,2502,3819,196941,249,506,2346,924,399,1822,558042,544019,484466,3411,1585,9454,161,70,57169,55,269,1466,629,757,490071,2416,7129,1029,1718,5549,29532,66,528,42225,6729,73,7676,122,142,945,1996,27,29873,5690,1467,11076,3643,1261,14449,991431,952350,930817
1063,184,2549,3916,188791,256,252,2301,514,723,1824,692675,531373,478695,3752,1600,10438,218,80,56778,65,228,1433,288,744,478710,3301,6786,1031,1721,5239,28255,163,385,31852,6661,80,7816,104,138,1002,1989,30,31205,6890,1465,9177,3611,1303,12669,981942,952405,931836
1122,87,2337,4165,213004,311,189,2548,903,493,1949,596320,520101,476430,3171,1245,8174,148,116,55595,109,219,1541,437,783,473844,2355,7040,1001,1688,5276,28143,247,526,26491,6831,73,7754,107,143,1011,1993,31,28403,6613,1507,7640,3381,1267,14167,980069,926767,949962
862,77,2309,4171,208357,456,230,2530,426,564,1998,615964,578532,535007,3286,1591,8860,168,79,62671,64,273,1470,582,862,528623,2650,7572,1143,1909,6111,27905,53,731,24672,7323,98,8292,122,131,981,2210,29,35110,6523,1466,9383,3314,1321,12849,991322,953526,945171
741,91,2386,4115,205957,293,177,2703,847,546,1972,540865,572635,537788,2829,1240,8585,167,103,62831,66,291,1641,818,826,530545,2929,7425,1147,1892,5910,27676,42,560,26491,7400,91,8291,108,140,1006,2204,28,28098,6119,1456,5794,3252,1292,13581,989569,945033,947695
956,96,2676,4370,204253,288,294,2590,910,723,2009,565304,572699,531706,3290,1338,10096,175,80,63557,70,554,1302,512,836,526513,2539,7698,1162,1925,5787,28691,69,445,28700,7494,85,8487,135,142,993,2243,27,37992,5802,1478,9242,3290,1318,13914,1000696,950491,944636
740,142,2655,4398,,,,,,575,2003,625987,576289,538360,3201,1357,10748,179,72,64054,90,238,1450,534,842,526117,3125,7391,1124,1843,5830,27105,66,586,22631,7372,79,8306,121,181,1006,2255,49,30794,5610,1549,9244,3329,1327,14965,991180,946253,






query_ID  average_time (ms)
 query_1         920.857143
 query_2         134.857143
 query_3        2460.571429
 query_4        4055.857143
 query_5      201583.000000
 query_6         312.571429
 query_7         275.428571
 query_8        2516.000000
 query_9         738.714286
query_10        1531.000000
query_11        2289.142857
query_12      566543.428571
query_13      558503.428571
query_14      510096.714286
query_15        3215.571429
query_16        1450.285714
query_17        9762.571429
query_18         187.714286
query_19          93.000000
query_20       59943.000000
query_21         116.714286
query_22         292.285714
query_23        1555.428571
query_24         584.000000
query_25         802.571429
query_26      505896.857143
query_27        2738.428571
query_28        7273.714286
query_29        1072.571429
query_30        1794.000000
query_31        5656.142857
query_32       28542.857143
query_33         101.714286
query_34         539.000000
query_35       32998.285714
query_36        7000.000000
query_37         109.857143
query_38        8110.571429
query_39         114.714286
query_40         137.000000
query_41         984.571429
query_42        2084.000000
query_43          28.285714
query_44       33793.714286
query_45        6311.714286
query_46        1474.714286
query_47        9223.000000
query_48        3386.285714
query_49        1283.428571
query_50       14745.571429
query_51      989457.428571
query_52      945021.571429
query_53      941788.000000


category  average_time          std_dev
SSP         1896.642857         2303.892164
SSK        1450.285714        0.000000
SSO         52686.681319       149227.094525  
MultiSource  207169.968944        339001.871161
SQ          57623.39      169641.56
IQ         64139.19       158143.15
CQ       229324.88        399782.09
